testkevin0	Unassigned;Other
testkevin1	k__Archaea;Other
testkevin2	k__Archaea;p__Crenarchaeota
testkevin3	k__Archaea;p__Euryarchaeota
testkevin4	k__Bacteria;Other
testkevin5	k__Bacteria;p__Acidobacteria
testkevin6	k__Bacteria;p__Actinobacteria
testkevin7	k__Bacteria;p__Bacteroidetes
testkevin8	k__Bacteria;p__Chloroflexi
testkevin9	k__Bacteria;p__Cyanobacteria
testkevin10	k__Bacteria;p__Firmicutes
testkevin11	k__Bacteria;p__Fusobacteria
testkevin12	k__Bacteria;p__GN02
testkevin13	k__Bacteria;p__Gemmatimonadetes
testkevin14	k__Bacteria;p__Lentisphaerae
testkevin15	k__Bacteria;p__OP1
testkevin16	k__Bacteria;p__OP8
testkevin17	k__Bacteria;p__Planctomycetes
testkevin18	k__Bacteria;p__Proteobacteria
testkevin19	k__Bacteria;p__SAR406
testkevin20	k__Bacteria;p__SR1
testkevin21	k__Bacteria;p__Synergistetes
testkevin22	k__Bacteria;p__TM7
testkevin23	k__Bacteria;p__Tenericutes
testkevin24	k__Bacteria;p__Verrucomicrobia
testkevin25	k__Bacteria;p__WS3
testkevin26	k__Bacteria;p__[Thermi]
testkevin27	Unassigned;Other;Other
testkevin28	k__Archaea;Other;Other
testkevin29	k__Archaea;p__Crenarchaeota;Other
testkevin30	k__Archaea;p__Crenarchaeota;c__MBGA
testkevin31	k__Archaea;p__Crenarchaeota;c__MCG
testkevin32	k__Archaea;p__Crenarchaeota;c__Thaumarchaeota
testkevin33	k__Archaea;p__Crenarchaeota;c__Thermoprotei
testkevin34	k__Archaea;p__Euryarchaeota;Other
testkevin35	k__Archaea;p__Euryarchaeota;c__ANME-1
testkevin36	k__Archaea;p__Euryarchaeota;c__DSEG
testkevin37	k__Archaea;p__Euryarchaeota;c__Halobacteria
testkevin38	k__Archaea;p__Euryarchaeota;c__Methanomicrobia
testkevin39	k__Archaea;p__Euryarchaeota;c__Thermoplasmata
testkevin40	k__Bacteria;Other;Other
testkevin41	k__Bacteria;p__Acidobacteria;c__Acidobacteria-6
testkevin42	k__Bacteria;p__Actinobacteria;Other
testkevin43	k__Bacteria;p__Actinobacteria;c__Acidimicrobiia
testkevin44	k__Bacteria;p__Actinobacteria;c__Actinobacteria
testkevin45	k__Bacteria;p__Actinobacteria;c__Coriobacteriia
testkevin46	k__Bacteria;p__Actinobacteria;c__OPB41
testkevin47	k__Bacteria;p__Actinobacteria;c__Thermoleophilia
testkevin48	k__Bacteria;p__Bacteroidetes;Other
testkevin49	k__Bacteria;p__Bacteroidetes;c__Bacteroidia
testkevin50	k__Bacteria;p__Bacteroidetes;c__Cytophagia
testkevin51	k__Bacteria;p__Bacteroidetes;c__Flavobacteriia
testkevin52	k__Bacteria;p__Bacteroidetes;c__Sphingobacteriia
testkevin53	k__Bacteria;p__Bacteroidetes;c__[Saprospirae]
testkevin54	k__Bacteria;p__Chloroflexi;Other
testkevin55	k__Bacteria;p__Chloroflexi;c__Anaerolineae
testkevin56	k__Bacteria;p__Chloroflexi;c__Chloroflexi
testkevin57	k__Bacteria;p__Chloroflexi;c__Dehalococcoidetes
testkevin58	k__Bacteria;p__Chloroflexi;c__Ktedonobacteria
testkevin59	k__Bacteria;p__Chloroflexi;c__SAR202
testkevin60	k__Bacteria;p__Cyanobacteria;Other
testkevin61	k__Bacteria;p__Cyanobacteria;c__4C0d-2
testkevin62	k__Bacteria;p__Cyanobacteria;c__Chloroplast
testkevin63	k__Bacteria;p__Cyanobacteria;c__Nostocophycideae
testkevin64	k__Bacteria;p__Cyanobacteria;c__Synechococcophycideae
testkevin65	k__Bacteria;p__Firmicutes;Other
testkevin66	k__Bacteria;p__Firmicutes;c__Bacilli
testkevin67	k__Bacteria;p__Firmicutes;c__Clostridia
testkevin68	k__Bacteria;p__Firmicutes;c__Erysipelotrichi
testkevin69	k__Bacteria;p__Fusobacteria;c__Fusobacteriia
testkevin70	k__Bacteria;p__GN02;c__3BR-5F
testkevin71	k__Bacteria;p__Gemmatimonadetes;c__Gemm-2
testkevin72	k__Bacteria;p__Gemmatimonadetes;c__Gemm-3
testkevin73	k__Bacteria;p__Gemmatimonadetes;c__Gemm-5
testkevin74	k__Bacteria;p__Gemmatimonadetes;c__Gemmatimonadetes
testkevin75	k__Bacteria;p__Lentisphaerae;c__[Lentisphaeria]
testkevin76	k__Bacteria;p__OP1;c__[Acetothermia]
testkevin77	k__Bacteria;p__OP8;c__OP8_2
testkevin78	k__Bacteria;p__Planctomycetes;Other
testkevin79	k__Bacteria;p__Planctomycetes;c__
testkevin80	k__Bacteria;p__Planctomycetes;c__OM190
testkevin81	k__Bacteria;p__Planctomycetes;c__Phycisphaerae
testkevin82	k__Bacteria;p__Proteobacteria;Other
testkevin83	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria
testkevin84	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria
testkevin85	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria
testkevin86	k__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria
testkevin87	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria
testkevin88	k__Bacteria;p__SAR406;c__AB16
testkevin89	k__Bacteria;p__SR1;c__
testkevin90	k__Bacteria;p__Synergistetes;c__Synergistia
testkevin91	k__Bacteria;p__TM7;c__TM7-3
testkevin92	k__Bacteria;p__Tenericutes;c__Mollicutes
testkevin93	k__Bacteria;p__Tenericutes;c__RF3
testkevin94	k__Bacteria;p__Verrucomicrobia;Other
testkevin95	k__Bacteria;p__Verrucomicrobia;c__Opitutae
testkevin96	k__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae
testkevin97	k__Bacteria;p__WS3;c__PRR-12
testkevin98	k__Bacteria;p__[Thermi];c__Deinococci
testkevin99	Unassigned;Other;Other;Other
testkevin100	k__Archaea;Other;Other;Other
testkevin101	k__Archaea;p__Crenarchaeota;Other;Other
testkevin102	k__Archaea;p__Crenarchaeota;c__MBGA;o__NRP-J
testkevin103	k__Archaea;p__Crenarchaeota;c__MCG;o__pGrfC26
testkevin104	k__Archaea;p__Crenarchaeota;c__Thaumarchaeota;o__Cenarchaeales
testkevin105	k__Archaea;p__Crenarchaeota;c__Thermoprotei;o__Desulfurococcales
testkevin106	k__Archaea;p__Crenarchaeota;c__Thermoprotei;o__Thermoproteales
testkevin107	k__Archaea;p__Euryarchaeota;Other;Other
testkevin108	k__Archaea;p__Euryarchaeota;c__ANME-1;o__
testkevin109	k__Archaea;p__Euryarchaeota;c__DSEG;o__DHVE3
testkevin110	k__Archaea;p__Euryarchaeota;c__Halobacteria;o__Halobacteriales
testkevin111	k__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanomicrobiales
testkevin112	k__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanosarcinales
testkevin113	k__Archaea;p__Euryarchaeota;c__Thermoplasmata;o__Thermoplasmatales
testkevin114	k__Bacteria;Other;Other;Other
