FEATURE_ID	FEATURE_NAME	MEAN_POS	MEDIAN_ALL	MEDIAN_0	MEDIAN_1	FOLD_CHANGE	LOG2_FOLD_CHANGE
99	k__Bacteria:p__Bacteroidetes:c__Bacteroidia:o__Bacteroidales:f__Rikenellaceae:g__	1.6000000000000001	0.012377662636699999	0.0018138513428499999	0.056585365853699998	31.196253252369999	4.9633008631154594
54	k__Bacteria:p__Bacteroidetes:c__Bacteroidia:o__Bacteroidales:f__Rikenellaceae	2.5600000000000001	0.012377662636699999	0.0018138513428499999	0.056585365853699998	31.196253252369999	4.9633008631154594
27	k__Bacteria:p__Bacteroidetes:c__Bacteroidia:o__Bacteroidales	5.0599999999999996	0.25588235294099998	0.070225241995549997	0.39723661485299999	5.65660727631486	2.499937011854827
12	k__Bacteria:p__Bacteroidetes:c__Bacteroidia	5.0599999999999996	0.25588235294099998	0.070225241995549997	0.39723661485299999	5.65660727631486	2.499937011854827
2	k__Bacteria:p__Bacteroidetes	6.6799999999999997	0.25588235294099998	0.070969843633649998	0.39723661485299999	5.5972592655488427	2.484720575044383
1	k__Bacteria:p__Actinobacteria	7.9199999999999999	0.00147710487445	0.0034172900457349999	0.00033288948069199999	0.097413294229287822	-3.3597375159284146
56	k__Bacteria:p__Bacteroidetes:c__Bacteroidia:o__Bacteroidales:f__[Barnesiellaceae]	9.9600000000000009	0.0	0.0	0.0107142857143	inf	inf
101	k__Bacteria:p__Bacteroidetes:c__Bacteroidia:o__Bacteroidales:f__[Barnesiellaceae]:g__	10.82	0.0	0.0	0.0107142857143	inf	inf
125	k__Bacteria:p__Firmicutes:c__Clostridia:o__Clostridiales:f__Lachnospiraceae:g__Lachnospira	11.24	0.00119047619048	0.0	0.0023646873357899998	inf	inf
127	k__Bacteria:p__Firmicutes:c__Clostridia:o__Clostridiales:f__Lachnospiraceae:g__[Ruminococcus]	15.380000000000001	0.00068166325835000003	0.003558617548255	0.00021910604732700001	0.061570552147263091	-4.021615683483434
26	k__Bacteria:p__Actinobacteria:c__Coriobacteriia:o__Coriobacteriales	15.84	0.0010154861639999999	0.0020844673699850001	0.00033288948069199999	0.1597000200076989	-2.6465636013930309
11	k__Bacteria:p__Actinobacteria:c__Coriobacteriia	15.9	0.0010154861639999999	0.0020844673699850001	0.00033288948069199999	0.1597000200076989	-2.6465636013930309
49	k__Bacteria:p__Actinobacteria:c__Coriobacteriia:o__Coriobacteriales:f__Coriobacteriaceae	16.02	0.0010154861639999999	0.0020844673699850001	0.00033288948069199999	0.1597000200076989	-2.6465636013930309
64	k__Bacteria:p__Firmicutes:c__Bacilli:o__Lactobacillales:f__Streptococcaceae	19.0	0.00086355785837700005	0.0030283304300000001	0.0	0.0	-inf
16	k__Bacteria:p__Firmicutes:c__Erysipelotrichi	19.0	0.0029268292682900002	0.0038277166141849998	0.0020309723279999998	0.5305963143858381	-0.91431344049629282
92	k__Bacteria:p__Actinobacteria:c__Coriobacteriia:o__Coriobacteriales:f__Coriobacteriaceae:Other	19.079999999999998	0.0	0.0	0.0	nan	nan
76	k__Bacteria:p__Firmicutes:c__Erysipelotrichi:o__Erysipelotrichales:f__Erysipelotrichaceae	19.140000000000001	0.0029268292682900002	0.0038277166141849998	0.0020309723279999998	0.5305963143858381	-0.91431344049629282
34	k__Bacteria:p__Firmicutes:c__Erysipelotrichi:o__Erysipelotrichales	19.16	0.0029268292682900002	0.0038277166141849998	0.0020309723279999998	0.5305963143858381	-0.91431344049629282
110	k__Bacteria:p__Firmicutes:c__Bacilli:o__Lactobacillales:f__Streptococcaceae:g__Streptococcus	21.52	0.00086355785837700005	0.0030283304300000001	0.0	0.0	-inf
112	k__Bacteria:p__Firmicutes:c__Clostridia:o__Clostridiales:Other:Other	23.84	0.0028483786152500002	0.0050642208102750002	0.0021303035682599999	0.42065771775546235	-1.249281281416087
66	k__Bacteria:p__Firmicutes:c__Clostridia:o__Clostridiales:Other	24.0	0.0028483786152500002	0.0050642208102750002	0.0021303035682599999	0.42065771775546235	-1.249281281416087
38	k__Bacteria:p__Proteobacteria:c__Alphaproteobacteria:o__Sphingomonadales	24.800000000000001	0.0	0.0	0.0	nan	nan
80	k__Bacteria:p__Proteobacteria:c__Alphaproteobacteria:o__Sphingomonadales:f__Sphingomonadaceae	25.0	0.0	0.0	0.0	nan	nan
13	k__Bacteria:p__Bacteroidetes:c__[Saprospirae]	26.48	0.0	0.0	0.0	nan	nan
105	k__Bacteria:p__Bacteroidetes:c__[Saprospirae]:o__[Saprospirales]:f__Chitinophagaceae:g__Sediminibacterium	26.66	0.0	0.0	0.0	nan	nan
28	k__Bacteria:p__Bacteroidetes:c__[Saprospirae]:o__[Saprospirales]	26.719999999999999	0.0	0.0	0.0	nan	nan
140	k__Bacteria:p__Firmicutes:c__Erysipelotrichi:o__Erysipelotrichales:f__Erysipelotrichaceae:g__	26.739999999999998	0.0017271157167500001	0.0027071479915650003	0.00088261253309799995	0.32603039650882265	-1.6169216186266355
59	k__Bacteria:p__Bacteroidetes:c__[Saprospirae]:o__[Saprospirales]:f__Chitinophagaceae	26.780000000000001	0.0	0.0	0.0	nan	nan
52	k__Bacteria:p__Bacteroidetes:c__Bacteroidia:o__Bacteroidales:f__Porphyromonadaceae	27.52	0.0027027027027000002	0.0	0.0085758835758799994	inf	inf
70	k__Bacteria:p__Firmicutes:c__Clostridia:o__Clostridiales:f__Dehalobacteriaceae	28.079999999999998	0.0	0.0	0.0	nan	nan
118	k__Bacteria:p__Firmicutes:c__Clostridia:o__Clostridiales:f__Dehalobacteriaceae:g__Dehalobacterium	28.16	0.0	0.0	0.0	nan	nan
37	k__Bacteria:p__Proteobacteria:c__Alphaproteobacteria:o__Rhizobiales	29.899999999999999	0.0	0.00067318938371599998	0.0	0.0	-inf
