FS_WITH_BEST_MCC	80
STEP	MCC	MCC_MIN	MCC_MAX	SENS	SENS_MIN	SENS_MAX	SPEC	SPEC_MIN	SPEC_MAX	PPV	PPV_MIN	PPV_MAX	NPV	NPV_MIN	NPV_MAX	AUC	AUC_MIN	AUC_MAX	ACC	ACC_MIN	ACC_MAX	DOR	DOR_MIN	DOR_MAX	DOR_APPROX
1	0.42276843473092002	0.35719573099937607	0.48907217635611699	0.56733333333333336	0.504	0.63000000000000034	0.81666666666666654	0.76000000000000001	0.86666666666666681	0.7746587301587301	0.7124126984126985	0.83494444444444449	0.69915079365079369	0.66887229437229445	0.73269841269841263	0.82755555555555549	0.79066666666666663	0.86777777777777754	0.69818181818181779	0.66742424242424236	0.72893939393939367	inf	inf	inf	5.8410141476397213
2	0.45845387435763341	0.38904198647675292	0.52770474164837589	0.56733333333333336	0.504	0.63000000000000034	0.85333333333333339	0.81000000000000016	0.89333333333333331	0.79978571428571432	0.73661904761904784	0.85683333333333311	0.70843650793650792	0.67676911976912013	0.74476190476190485	0.84655555555555551	0.81188888888888855	0.88144444444444403	0.71742424242424208	0.68590909090909047	0.75090909090909064	inf	inf	inf	7.629079703039646
3	0.54778653599395311	0.48573833792523702	0.61003389337048475	0.65266666666666662	0.59466666666666679	0.70799999999999996	0.8600000000000001	0.81666666666666654	0.90000000000000024	0.84092857142857147	0.7915714285714287	0.88483333333333325	0.75031385281385288	0.71629870129870143	0.78523809523809518	0.84055555555555528	0.80488888888888865	0.87488888888888883	0.76121212121212123	0.73045454545454502	0.79333333333333311	inf	inf	inf	11.542911982451336
4	0.52576779767845661	0.46512131493501729	0.5853457414715324	0.65200000000000014	0.59400000000000008	0.70733333333333337	0.83999999999999997	0.79000000000000015	0.88333333333333319	0.82030952380952404	0.77173809523809533	0.86569047619047634	0.74793290043290039	0.71384199134199133	0.78373809523809557	0.84366666666666679	0.81044444444444397	0.87588888888888894	0.7501515151515149	0.72106060606060585	0.78106060606060579	inf	inf	inf	9.8362068965517278
5	0.56238335748537105	0.50935675372171896	0.61782501353868935	0.68933333333333346	0.63266666666666682	0.7453333333333334	0.84333333333333338	0.80333333333333323	0.88000000000000012	0.82690476190476192	0.78595238095238085	0.86909523809523792	0.77321067821067824	0.73904040404040439	0.8072380952380952	0.84377777777777763	0.80899999999999994	0.87699999999999989	0.76969696969696944	0.74227272727272686	0.79878787878787849	inf	inf	inf	11.944206008583702
6	0.55498791023418481	0.49241042068428664	0.61534576264975716	0.71600000000000019	0.66133333333333355	0.77066666666666672	0.81666666666666698	0.77333333333333376	0.85666666666666647	0.79814285714285704	0.75419047619047619	0.8392857142857143	0.78266666666666695	0.74661904761904774	0.82033333333333358	0.83788888888888879	0.80322222222222195	0.8726666666666667	0.76818181818181808	0.73757575757575755	0.79893939393939362	inf	inf	inf	11.230473751600547
7	0.55655640089176539	0.49264413521347777	0.61942421819798443	0.71933333333333349	0.66600000000000004	0.77333333333333343	0.81666666666666687	0.77333333333333343	0.85666666666666691	0.79547619047619056	0.7505238095238097	0.83980952380952356	0.78452380952380962	0.74890476190476196	0.82159523809523805	0.84066666666666667	0.80722222222222217	0.87433333333333341	0.76984848484848467	0.73787878787878791	0.8009090909090909	inf	inf	inf	11.416756640034574
8	0.55383260406836332	0.48556056764525274	0.62922067319140629	0.7293333333333335	0.67400000000000015	0.78733333333333333	0.80333333333333345	0.7566666666666666	0.85000000000000009	0.78935714285714287	0.74140476190476179	0.83552380952380934	0.78857142857142859	0.74919047619047607	0.8296904761904762	0.84133333333333327	0.81000000000000028	0.87322222222222212	0.76772727272727248	0.73378787878787866	0.80469696969696969	inf	inf	inf	11.006679468982234
9	0.55965804547349218	0.49176514321351378	0.62943560442353075	0.73733333333333362	0.68333333333333357	0.79199999999999993	0.80333333333333345	0.7599999999999999	0.84999999999999998	0.78947619047619055	0.7436666666666667	0.83366666666666656	0.79133333333333322	0.75395238095238104	0.83178571428571435	0.8512222222222221	0.81888888888888856	0.88288888888888895	0.77136363636363614	0.73803030303030281	0.80499999999999983	inf	inf	inf	11.466316785683585
10	0.56434285975571175	0.49664037505047548	0.63222844136633571	0.75000000000000033	0.69866666666666688	0.80266666666666675	0.79666666666666686	0.75000000000000011	0.84333333333333327	0.78657142857142859	0.74276190476190462	0.83114285714285718	0.79730952380952369	0.76059523809523799	0.83719047619047604	0.85766666666666647	0.82488888888888867	0.88933333333333309	0.77348484848484833	0.74075757575757561	0.80636363636363617	inf	inf	inf	11.754098360655773
20	0.59390420543405265	0.5269868886516218	0.65809398402185038	0.81533333333333335	0.76666666666666672	0.86533333333333318	0.76333333333333342	0.71333333333333337	0.81000000000000016	0.77388095238095245	0.7315952380952383	0.81497619047619063	0.83670634920634923	0.79926984126984124	0.87669047619047635	0.87688888888888883	0.84677777777777752	0.90422222222222215	0.78727272727272724	0.75303030303030294	0.81954545454545424	inf	inf	inf	14.240453551634726
30	0.63913040760939344	0.58029206434342806	0.69628721881176403	0.90066666666666673	0.8613333333333334	0.93999999999999995	0.71666666666666656	0.66333333333333311	0.76666666666666661	0.75796825396825407	0.72296031746031764	0.79233333333333344	0.90653968253968276	0.87263492063492054	0.94020634920634916	0.88722222222222213	0.86155555555555519	0.90933333333333277	0.80348484848484858	0.77106060606060578	0.83287878787878755	inf	inf	inf	22.934465061192267
40	0.65202497236294987	0.60180407829717342	0.7015722772675721	0.92933333333333323	0.90066666666666662	0.96200000000000008	0.69999999999999984	0.64999999999999991	0.74666666666666659	0.75008730158730175	0.71841269841269861	0.78033333333333355	0.9282380952380952	0.89957142857142847	0.95866666666666656	0.8977777777777779	0.87088888888888849	0.9227777777777777	0.80833333333333302	0.78045454545454551	0.83515151515151498	inf	inf	inf	30.685534591194898
50	0.6541287251531126	0.60469850654544521	0.70168577680296595	0.93733333333333335	0.90666666666666673	0.96466666666666667	0.69333333333333347	0.64666666666666672	0.73666666666666669	0.74384920634920659	0.71459523809523806	0.77209523809523806	0.93795238095238087	0.90857142857142859	0.96599999999999997	0.89322222222222225	0.8676666666666667	0.91611111111111077	0.80863636363636349	0.78090909090909066	0.83454545454545415	inf	inf	inf	33.816836262719733
60	0.65102695124538945	0.59693673667121183	0.69940260821547284	0.93400000000000005	0.89866666666666661	0.96733333333333338	0.69333333333333347	0.64666666666666672	0.73666666666666669	0.742325396825397	0.71163492063492095	0.7715873015873016	0.93661904761904768	0.90433333333333332	0.96633333333333338	0.88366666666666671	0.85777777777777753	0.90666666666666629	0.806969696969697	0.777272727272727	0.83287878787878755	inf	inf	inf	31.994729907773429
70	0.66207188739670186	0.60794221949862415	0.71106328806530916	0.94466666666666665	0.91133333333333344	0.97400000000000009	0.69333333333333347	0.64666666666666672	0.73666666666666669	0.74442063492063515	0.71344444444444477	0.77399999999999991	0.94595238095238088	0.91533333333333322	0.97399999999999975	0.87977777777777777	0.8522222222222221	0.90455555555555522	0.81212121212121202	0.78151515151515161	0.83924242424242435	inf	inf	inf	38.598218962807763
80	0.66207355579309934	0.60633003350332093	0.71685006419679898	0.93266666666666664	0.90000000000000002	0.96333333333333337	0.70666666666666667	0.6566666666666664	0.75333333333333352	0.75473809523809532	0.71880952380952412	0.78935714285714298	0.93380952380952364	0.90428571428571436	0.96466666666666667	0.88455555555555576	0.86033333333333317	0.90744444444444416	0.81348484848484826	0.78181818181818163	0.84272727272727299	inf	inf	inf	33.369486948694856
