testkevinmerged0	Unassigned;Other
testkevinmerged1	k__Archaea;Other
testkevinmerged2	k__Archaea;p__Crenarchaeota
testkevinmerged3	k__Archaea;p__Euryarchaeota
testkevinmerged4	k__Bacteria;Other
testkevinmerged5	k__Bacteria;p__Acidobacteria
testkevinmerged6	k__Bacteria;p__Actinobacteria
testkevinmerged7	k__Bacteria;p__Bacteroidetes
testkevinmerged8	k__Bacteria;p__Chloroflexi
testkevinmerged9	k__Bacteria;p__Cyanobacteria
testkevinmerged10	k__Bacteria;p__Firmicutes
testkevinmerged11	k__Bacteria;p__Fusobacteria
testkevinmerged12	k__Bacteria;p__GN02
testkevinmerged13	k__Bacteria;p__Gemmatimonadetes
testkevinmerged14	k__Bacteria;p__Lentisphaerae
testkevinmerged15	k__Bacteria;p__OP1
testkevinmerged16	k__Bacteria;p__OP8
testkevinmerged17	k__Bacteria;p__Planctomycetes
testkevinmerged18	k__Bacteria;p__Proteobacteria
testkevinmerged19	k__Bacteria;p__SAR406
testkevinmerged20	k__Bacteria;p__SR1
testkevinmerged21	k__Bacteria;p__Synergistetes
testkevinmerged22	k__Bacteria;p__TM7
testkevinmerged23	k__Bacteria;p__Tenericutes
testkevinmerged24	k__Bacteria;p__Verrucomicrobia
testkevinmerged25	k__Bacteria;p__WS3
testkevinmerged26	k__Bacteria;p__[Thermi]
testkevinmerged27	Unassigned;Other;Other
testkevinmerged28	k__Archaea;Other;Other
testkevinmerged29	k__Archaea;p__Crenarchaeota;Other
testkevinmerged30	k__Archaea;p__Crenarchaeota;c__MBGA
testkevinmerged31	k__Archaea;p__Crenarchaeota;c__MCG
testkevinmerged32	k__Archaea;p__Crenarchaeota;c__Thaumarchaeota
testkevinmerged33	k__Archaea;p__Crenarchaeota;c__Thermoprotei
testkevinmerged34	k__Archaea;p__Euryarchaeota;Other
testkevinmerged35	k__Archaea;p__Euryarchaeota;c__ANME-1
testkevinmerged36	k__Archaea;p__Euryarchaeota;c__DSEG
testkevinmerged37	k__Archaea;p__Euryarchaeota;c__Halobacteria
testkevinmerged38	k__Archaea;p__Euryarchaeota;c__Methanomicrobia
testkevinmerged39	k__Archaea;p__Euryarchaeota;c__Thermoplasmata
testkevinmerged40	k__Bacteria;Other;Other
testkevinmerged41	k__Bacteria;p__Acidobacteria;c__Acidobacteria-6
testkevinmerged42	k__Bacteria;p__Actinobacteria;Other
testkevinmerged43	k__Bacteria;p__Actinobacteria;c__Acidimicrobiia
testkevinmerged44	k__Bacteria;p__Actinobacteria;c__Actinobacteria
testkevinmerged45	k__Bacteria;p__Actinobacteria;c__Coriobacteriia
testkevinmerged46	k__Bacteria;p__Actinobacteria;c__OPB41
testkevinmerged47	k__Bacteria;p__Actinobacteria;c__Thermoleophilia
testkevinmerged48	k__Bacteria;p__Bacteroidetes;Other
testkevinmerged49	k__Bacteria;p__Bacteroidetes;c__Bacteroidia
testkevinmerged50	k__Bacteria;p__Bacteroidetes;c__Cytophagia
testkevinmerged51	k__Bacteria;p__Bacteroidetes;c__Flavobacteriia
testkevinmerged52	k__Bacteria;p__Bacteroidetes;c__Sphingobacteriia
testkevinmerged53	k__Bacteria;p__Bacteroidetes;c__[Saprospirae]
testkevinmerged54	k__Bacteria;p__Chloroflexi;Other
testkevinmerged55	k__Bacteria;p__Chloroflexi;c__Anaerolineae
testkevinmerged56	k__Bacteria;p__Chloroflexi;c__Chloroflexi
testkevinmerged57	k__Bacteria;p__Chloroflexi;c__Dehalococcoidetes
testkevinmerged58	k__Bacteria;p__Chloroflexi;c__Ktedonobacteria
testkevinmerged59	k__Bacteria;p__Chloroflexi;c__SAR202
testkevinmerged60	k__Bacteria;p__Cyanobacteria;Other
